"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0.000154027,0.524583,,0.000154027,0.521152,,0.000154027,0.515168,,0.000154027,0.510692,,0.000154027,0.507598,,0.000154027,0.505402
0.000159395,0.524082,,0.000159395,0.521808,,0.000159395,0.516186,,0.000159395,0.511722,,0.000159395,0.508551,,0.000159395,0.506266
0.00017,0.523093,,0.00017,0.522431,,0.00017,0.517709,,0.00017,0.513416,,0.00017,0.510188,,0.00017,0.507785
0.000171074,0.523893,,0.000171074,0.522569,,0.000171074,0.517929,,0.000171074,0.513657,,0.000171074,0.510427,,0.000171074,0.508015
0.000173221,0.525493,,0.000173221,0.522908,,0.000173221,0.518397,,0.000173221,0.514158,,0.000173221,0.510918,,0.000173221,0.508485
0.000177516,0.528717,,0.000177516,0.523929,,0.000177516,0.519495,,0.000177516,0.515266,,0.000177516,0.511984,,0.000177516,0.509494
0.000186106,0.535253,,0.000186106,0.527079,,0.000186106,0.522278,,0.000186106,0.517887,,0.000186106,0.514431,,0.000186106,0.511774
0.00019,0.538363,,0.00019,0.528935,,0.00019,0.523792,,0.00019,0.519257,,0.00019,0.515686,,0.00019,0.512932
0.000191718,0.539288,,0.000191718,0.529769,,0.000191718,0.524461,,0.000191718,0.519852,,0.000191718,0.516225,,0.000191718,0.513424
0.000195154,0.541112,,0.000195154,0.531447,,0.000195154,0.525814,,0.000195154,0.521056,,0.000195154,0.517315,,0.000195154,0.514419
0.000202026,0.544786,,0.000202026,0.534868,,0.000202026,0.528628,,0.000202026,0.52356,,0.000202026,0.519581,,0.000202026,0.516488
0.00021,0.549126,,0.00021,0.538939,,0.00021,0.532061,,0.00021,0.526621,,0.00021,0.522354,,0.00021,0.51902
0.000211374,0.550613,,0.000211374,0.53976,,0.000211374,0.53276,,0.000211374,0.527248,,0.000211374,0.522926,,0.000211374,0.519548
0.000214123,0.553539,,0.000214123,0.541472,,0.000214123,0.5342,,0.000214123,0.528533,,0.000214123,0.524094,,0.000214123,0.520622
0.000219621,0.559459,,0.000219621,0.545317,,0.000219621,0.537354,,0.000219621,0.531308,,0.000219621,0.5266,,0.000219621,0.522916
0.00023,0.570911,,0.00023,0.553803,,0.00023,0.54421,,0.00023,0.53726,,0.00023,0.531924,,0.00023,0.527759
0.0002311,0.572043,,0.0002311,0.554777,,0.0002311,0.544996,,0.0002311,0.537937,,0.0002311,0.532526,,0.0002311,0.528304
0.000233299,0.573837,,0.000233299,0.556677,,0.000233299,0.546531,,0.000233299,0.539256,,0.000233299,0.533695,,0.000233299,0.529358
0.000237697,0.577451,,0.000237697,0.560453,,0.000237697,0.549641,,0.000237697,0.541944,,0.000237697,0.536081,,0.000237697,0.531513
0.000246493,0.584782,,0.000246493,0.567949,,0.000246493,0.556019,,0.000246493,0.547509,,0.000246493,0.541045,,0.000246493,0.536007
0.00025,0.587864,,0.00025,0.570946,,0.00025,0.558634,,0.00025,0.549812,,0.00025,0.543108,,0.00025,0.537878
