"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0.000151342,14.8688,,0.000151342,14.8698,,0.000151342,14.8714,,0.000151342,14.8725,,0.000151342,14.8732,,0.000151342,14.8738
0.000154027,14.8689,,0.000154027,14.8697,,0.000154027,14.8712,,0.000154027,14.8723,,0.000154027,14.8731,,0.000154027,14.8736
0.000159395,14.869,,0.000159395,14.8695,,0.000159395,14.871,,0.000159395,14.8721,,0.000159395,14.8729,,0.000159395,14.8734
0.00017,14.8692,,0.00017,14.8694,,0.00017,14.8706,,0.00017,14.8716,,0.00017,14.8725,,0.00017,14.8731
0.000171074,14.869,,0.000171074,14.8694,,0.000171074,14.8705,,0.000171074,14.8716,,0.000171074,14.8724,,0.000171074,14.873
0.000173221,14.8686,,0.000173221,14.8693,,0.000173221,14.8704,,0.000173221,14.8715,,0.000173221,14.8723,,0.000173221,14.8729
0.000177516,14.8678,,0.000177516,14.869,,0.000177516,14.8701,,0.000177516,14.8712,,0.000177516,14.872,,0.000177516,14.8726
0.000186106,14.8662,,0.000186106,14.8682,,0.000186106,14.8694,,0.000186106,14.8705,,0.000186106,14.8714,,0.000186106,14.8721
0.00019,14.8654,,0.00019,14.8678,,0.00019,14.8691,,0.00019,14.8702,,0.00019,14.8711,,0.00019,14.8718
0.000191718,14.8652,,0.000191718,14.8676,,0.000191718,14.8689,,0.000191718,14.87,,0.000191718,14.8709,,0.000191718,14.8716
0.000195154,14.8647,,0.000195154,14.8671,,0.000195154,14.8685,,0.000195154,14.8697,,0.000195154,14.8707,,0.000195154,14.8714
0.000202026,14.8638,,0.000202026,14.8663,,0.000202026,14.8678,,0.000202026,14.8691,,0.000202026,14.8701,,0.000202026,14.8709
0.00021,14.8627,,0.00021,14.8653,,0.00021,14.867,,0.00021,14.8683,,0.00021,14.8694,,0.00021,14.8702
0.000211374,14.8623,,0.000211374,14.8651,,0.000211374,14.8668,,0.000211374,14.8682,,0.000211374,14.8693,,0.000211374,14.8701
0.000214123,14.8616,,0.000214123,14.8646,,0.000214123,14.8665,,0.000214123,14.8679,,0.000214123,14.869,,0.000214123,14.8698
0.000219621,14.8601,,0.000219621,14.8637,,0.000219621,14.8657,,0.000219621,14.8672,,0.000219621,14.8684,,0.000219621,14.8693
0.00023,14.8573,,0.00023,14.8615,,0.00023,14.8639,,0.00023,14.8657,,0.00023,14.867,,0.00023,14.8681
0.0002311,14.857,,0.0002311,14.8613,,0.0002311,14.8638,,0.0002311,14.8655,,0.0002311,14.8669,,0.0002311,14.8679
0.000233299,14.8565,,0.000233299,14.8608,,0.000233299,14.8634,,0.000233299,14.8652,,0.000233299,14.8666,,0.000233299,14.8677
0.000237697,14.8556,,0.000237697,14.8599,,0.000237697,14.8626,,0.000237697,14.8645,,0.000237697,14.866,,0.000237697,14.8671
0.000246493,14.8538,,0.000246493,14.858,,0.000246493,14.861,,0.000246493,14.8631,,0.000246493,14.8647,,0.000246493,14.866
0.00025,14.853,,0.00025,14.8573,,0.00025,14.8603,,0.00025,14.8625,,0.00025,14.8642,,0.00025,14.8655
