"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0.000151342,14.8026,,0.000151342,14.7979,,0.000151342,14.8083,,0.000151342,14.8117,,0.000151342,14.8134,,0.000151342,14.8144
0.000154027,14.81,,0.000154027,14.797,,0.000154027,14.8078,,0.000154027,14.8114,,0.000154027,14.8131,,0.000154027,14.8142
0.000159395,14.8153,,0.000159395,14.7951,,0.000159395,14.8068,,0.000159395,14.8107,,0.000159395,14.8126,,0.000159395,14.8138
0.00017,14.8165,,0.00017,14.7919,,0.00017,14.8049,,0.00017,14.8094,,0.00017,14.8116,,0.00017,14.813
0.000171074,14.7968,,0.000171074,14.7915,,0.000171074,14.8047,,0.000171074,14.8092,,0.000171074,14.8115,,0.000171074,14.8129
0.000173221,14.7667,,0.000173221,14.7909,,0.000173221,14.8043,,0.000173221,14.8089,,0.000173221,14.8113,,0.000173221,14.8127
0.000177516,14.74,,0.000177516,14.7894,,0.000177516,14.8034,,0.000177516,14.8083,,0.000177516,14.8107,,0.000177516,14.8122
0.000186106,14.7278,,0.000186106,14.7862,,0.000186106,14.8014,,0.000186106,14.8068,,0.000186106,14.8096,,0.000186106,14.8112
0.00019,14.7248,,0.00019,14.7845,,0.00019,14.8003,,0.00019,14.8061,,0.00019,14.809,,0.00019,14.8107
0.000191718,14.7324,,0.000191718,14.7838,,0.000191718,14.7999,,0.000191718,14.8057,,0.000191718,14.8087,,0.000191718,14.8105
0.000195154,14.7429,,0.000195154,14.7823,,0.000195154,14.799,,0.000195154,14.8051,,0.000195154,14.8082,,0.000195154,14.8101
0.000202026,14.7471,,0.000202026,14.7793,,0.000202026,14.7971,,0.000202026,14.8037,,0.000202026,14.8071,,0.000202026,14.8092
0.00021,14.7446,,0.00021,14.7756,,0.00021,14.7947,,0.00021,14.802,,0.00021,14.8057,,0.00021,14.8081
0.000211374,14.7297,,0.000211374,14.775,,0.000211374,14.7943,,0.000211374,14.8016,,0.000211374,14.8055,,0.000211374,14.8078
0.000214123,14.7089,,0.000214123,14.7736,,0.000214123,14.7933,,0.000214123,14.801,,0.000214123,14.8049,,0.000214123,14.8074
0.000219621,14.6918,,0.000219621,14.7706,,0.000219621,14.7914,,0.000219621,14.7995,,0.000219621,14.8038,,0.000219621,14.8064
0.00023,14.6819,,0.00023,14.7643,,0.00023,14.7873,,0.00023,14.7965,,0.00023,14.8014,,0.00023,14.8044
0.0002311,14.6834,,0.0002311,14.7636,,0.0002311,14.7868,,0.0002311,14.7962,,0.0002311,14.8011,,0.0002311,14.8042
0.000233299,14.6948,,0.000233299,14.7622,,0.000233299,14.7859,,0.000233299,14.7955,,0.000233299,14.8006,,0.000233299,14.8037
0.000237697,14.7038,,0.000237697,14.7593,,0.000237697,14.784,,0.000237697,14.7941,,0.000237697,14.7995,,0.000237697,14.8028
0.000246493,14.7039,,0.000246493,14.7532,,0.000246493,14.78,,0.000246493,14.7911,,0.000246493,14.7971,,0.000246493,14.8009
0.00025,14.6999,,0.00025,14.7507,,0.00025,14.7783,,0.00025,14.7899,,0.00025,14.7961,,0.00025,14.8
0.000251759,14.6947,,0.000251759,14.7494,,0.000251759,14.7775,,0.000251759,14.7893,,0.000251759,14.7956,,0.000251759,14.7996
