X--Kurve 1::[-I(R1:2) | I(TK1)],Y--Kurve 1::[-I(R1:2) | I(TK1)],,X--Kurve 2::[V(1) | V(TK4)],Y--Kurve 2::[V(1) | V(TK4)]
0.000619015,0.597893,,0.000619015,14.8505
0.00063,0.589659,,0.00063,14.8526
0.000632,0.59064,,0.000632,14.8523
0.000636,0.592383,,0.000636,14.8519
0.000644,0.595891,,0.000644,14.851
0.00065,0.598571,,0.00065,14.8504
0.0006516,0.599579,,0.0006516,14.8501
0.0006548,0.601579,,0.0006548,14.8496
0.0006612,0.605609,,0.0006612,14.8486
0.00067,0.611243,,0.00067,14.8472
0.00067128,0.612468,,0.00067128,14.8469
0.00067384,0.614824,,0.00067384,14.8463
0.00067896,0.619578,,0.00067896,14.8451
0.00068408,0.624433,,0.00068408,14.8439
0.00069,0.630131,,0.00069,14.8425
0.000691024,0.628765,,0.000691024,14.8428
0.000693072,0.625944,,0.000693072,14.8435
0.000697168,0.62036,,0.000697168,14.8449
0.00070536,0.609413,,0.00070536,14.8476
0.00071,0.603592,,0.00071,14.8491
0.000711638,0.600207,,0.000711638,14.8499
0.000714915,0.593418,,0.000714915,14.8516
0.000721469,0.580183,,0.000721469,14.855
0.00073,0.563904,,0.00073,14.859
0.000731311,0.56595,,0.000731311,14.8585
0.000733932,0.569166,,0.000733932,14.8577
0.000739175,0.575677,,0.000739175,14.8561
0.000744418,0.582394,,0.000744418,14.8544
0.00075,0.589711,,0.00075,14.8526
0.000751049,0.591767,,0.000751049,14.8521
0.000753146,0.595729,,0.000753146,14.8511
0.00075734,0.603774,,0.00075734,14.8491
0.000765729,0.620357,,0.000765729,14.8449
0.00077,0.629683,,0.00077,14.8426
0.000771678,0.626776,,0.000771678,14.8433
0.000775033,0.620762,,0.000775033,14.8448
0.000781744,0.608994,,0.000781744,14.8478
0.00079,0.595209,,0.00079,14.8512
0.000791342,0.594447,,0.000791342,14.8514
0.000794027,0.592311,,0.000794027,14.8519
0.000799395,0.588076,,0.000799395,14.853
0.00081,0.579843,,0.00081,14.855
0.000811074,0.581591,,0.000811074,14.8546
0.000813221,0.584881,,0.000813221,14.8538
0.000817516,0.591546,,0.000817516,14.8521
0.000826106,0.605222,,0.000826106,14.8487
0.00083,0.611999,,0.00083,14.847
0.000831718,0.610232,,0.000831718,14.8474
0.000835154,0.606579,,0.000835154,14.8484
0.000842026,0.599372,,0.000842026,14.8502
0.00085,0.591265,,0.00085,14.8522
0.000851374,0.590834,,0.000851374,14.8523
0.000854123,0.589755,,0.000854123,14.8526
0.000859621,0.587607,,0.000859621,14.8531
0.000870616,0.583346,,0.000870616,14.8542
0.00088,0.579786,,0.00088,14.8551
0.000882,0.578545,,0.000882,14.8554
0.000886,0.576033,,0.000886,14.856
0.000894,0.571059,,0.000894,14.8572
0.0009,0.567428,,0.0009,14.8581
0.0009016,0.568332,,0.0009016,14.8579
0.0009048,0.570101,,0.0009048,14.8575
0.0009112,0.573664,,0.0009112,14.8566
0.00092,0.57864,,0.00092,14.8553
0.00092128,0.579327,,0.00092128,14.8552
0.00092384,0.580618,,0.00092384,14.8548
0.00092896,0.583212,,0.00092896,14.8542
