"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0,0.488807,,0,0.488807,,0,0.488807,,0,0.488807,,0,0.488807,,0,0.488807
2e-07,0.488792,,2e-07,0.488807,,2e-07,0.488807,,2e-07,0.488807,,2e-07,0.488807,,2e-07,0.488807
4e-07,0.488765,,4e-07,0.488807,,4e-07,0.488807,,4e-07,0.488807,,4e-07,0.488807,,4e-07,0.488807
8e-07,0.488686,,8e-07,0.488807,,8e-07,0.488807,,8e-07,0.488807,,8e-07,0.488807,,8e-07,0.488807
1.6e-06,0.488419,,1.6e-06,0.488806,,1.6e-06,0.488806,,1.6e-06,0.488806,,1.6e-06,0.488806,,1.6e-06,0.488806
3.2e-06,0.487622,,3.2e-06,0.488804,,3.2e-06,0.488805,,3.2e-06,0.488805,,3.2e-06,0.488805,,3.2e-06,0.488805
6.4e-06,0.485635,,6.4e-06,0.488792,,6.4e-06,0.488796,,6.4e-06,0.488797,,6.4e-06,0.488798,,6.4e-06,0.488798
1.28e-05,0.481428,,1.28e-05,0.48872,,1.28e-05,0.48875,,1.28e-05,0.48876,,1.28e-05,0.488765,,1.28e-05,0.488768
2e-05,0.476788,,2e-05,0.488525,,2e-05,0.488634,,2e-05,0.48867,,2e-05,0.488689,,2e-05,0.4887
2.128e-05,0.476468,,2.128e-05,0.488473,,2.128e-05,0.488604,,2.128e-05,0.488648,,2.128e-05,0.48867,,2.128e-05,0.488683
2.384e-05,0.476334,,2.384e-05,0.488361,,2.384e-05,0.48854,,2.384e-05,0.488601,,2.384e-05,0.488631,,2.384e-05,0.488649
2.896e-05,0.47723,,2.896e-05,0.48809,,2.896e-05,0.48839,,2.896e-05,0.488491,,2.896e-05,0.488542,,2.896e-05,0.488573
3.408e-05,0.478244,,3.408e-05,0.487764,,3.408e-05,0.488214,,3.408e-05,0.488365,,3.408e-05,0.488442,,3.408e-05,0.488488
4e-05,0.479392,,4e-05,0.487334,,4e-05,0.487983,,4e-05,0.488203,,4e-05,0.488314,,4e-05,0.488381
4.1024e-05,0.479731,,4.1024e-05,0.487255,,4.1024e-05,0.48794,,4.1024e-05,0.488173,,4.1024e-05,0.488291,,4.1024e-05,0.488362
4.3072e-05,0.480577,,4.3072e-05,0.487094,,4.3072e-05,0.487855,,4.3072e-05,0.488114,,4.3072e-05,0.488245,,4.3072e-05,0.488324
4.7168e-05,0.482715,,4.7168e-05,0.486769,,4.7168e-05,0.487682,,4.7168e-05,0.487995,,4.7168e-05,0.488153,,4.7168e-05,0.488248
5.536e-05,0.487212,,5.536e-05,0.48614,,5.536e-05,0.487349,,5.536e-05,0.487769,,5.536e-05,0.487981,,5.536e-05,0.48811
6e-05,0.489808,,6e-05,0.485817,,6e-05,0.487177,,6e-05,0.487653,,6e-05,0.487896,,6e-05,0.488043
6.16384e-05,0.490773,,6.16384e-05,0.485716,,6.16384e-05,0.487123,,6.16384e-05,0.487617,,6.16384e-05,0.487869,,6.16384e-05,0.488022
6.49152e-05,0.492722,,6.49152e-05,0.485527,,6.49152e-05,0.487021,,6.49152e-05,0.48755,,6.49152e-05,0.48782,,6.49152e-05,0.487984
7.14688e-05,0.496685,,7.14688e-05,0.485248,,7.14688e-05,0.486866,,7.14688e-05,0.487449,,7.14688e-05,0.48775,,7.14688e-05,0.487933
8e-05,0.50194,,8e-05,0.485132,,8e-05,0.486785,,8e-05,0.487402,,8e-05,0.487724,,8e-05,0.487921
8.13107e-05,0.502547,,8.13107e-05,0.485146,,8.13107e-05,0.486788,,8.13107e-05,0.487406,,8.13107e-05,0.487728,,8.13107e-05,0.487926
8.39322e-05,0.503476,,8.39322e-05,0.485189,,8.39322e-05,0.486802,,8.39322e-05,0.487417,,8.39322e-05,0.48774,,8.39322e-05,0.487939
8.9175e-05,0.50467,,8.9175e-05,0.485373,,8.9175e-05,0.486875,,8.9175e-05,0.487471,,8.9175e-05,0.487787,,8.9175e-05,0.487983
9.44179e-05,0.505793,,9.44179e-05,0.485685,,9.44179e-05,0.48701,,9.44179e-05,0.487564,,9.44179e-05,0.487864,,9.44179e-05,0.488052
0.0001,0.507013,,0.0001,0.486158,,0.0001,0.487222,,0.0001,0.48771,,0.0001,0.48798,,0.0001,0.488152
0.000101049,0.507332,,0.000101049,0.486266,,0.000101049,0.487271,,0.000101049,0.487743,,0.000101049,0.488007,,0.000101049,0.488174
0.000103146,0.508078,,0.000103146,0.486493,,0.000103146,0.487375,,0.000103146,0.487814,,0.000103146,0.488063,,0.000103146,0.488222
0.00010734,0.509866,,0.00010734,0.487011,,0.00010734,0.487617,,0.00010734,0.487979,,0.00010734,0.488192,,0.00010734,0.488331
0.000115729,0.513599,,0.000115729,0.48832,,0.000115729,0.48824,,0.000115729,0.488404,,0.000115729,0.488525,,0.000115729,0.488611
0.00013,0.520039,,0.00013,0.491411,,0.00013,0.489768,,0.00013,0.489449,,0.00013,0.489339,,0.00013,0.48929
0.000131678,0.520546,,0.000131678,0.491855,,0.000131678,0.489992,,0.000131678,0.489602,,0.000131678,0.489458,,0.000131678,0.489388
0.000135033,0.521213,,0.000135033,0.49277,,0.000135033,0.490455,,0.000135033,0.489919,,0.000135033,0.489704,,0.000135033,0.489592
0.000141744,0.52184,,0.000141744,0.494763,,0.000141744,0.491474,,0.000141744,0.490617,,0.000141744,0.490244,,0.000141744,0.490039
0.00015,0.522601,,0.00015,0.497477,,0.00015,0.492886,,0.00015,0.491586,,0.00015,0.490992,,0.00015,0.490656
0.000151342,0.522618,,0.000151342,0.497946,,0.000151342,0.493134,,0.000151342,0.491756,,0.000151342,0.491124,,0.000151342,0.490764
0.000154027,0.522528,,0.000154027,0.498895,,0.000154027,0.493636,,0.000154027,0.492102,,0.000154027,0.49139,,0.000154027,0.490983
0.000159395,0.52206,,0.000159395,0.500853,,0.000159395,0.494684,,0.000159395,0.492823,,0.000159395,0.491946,,0.000159395,0.49144
0.00017,0.521071,,0.00017,0.504876,,0.00017,0.496892,,0.00017,0.494351,,0.00017,0.493125,,0.00017,0.492406
0.000171074,0.521314,,0.000171074,0.505293,,0.000171074,0.497126,,0.000171074,0.494514,,0.000171074,0.493251,,0.000171074,0.49251
0.000173221,0.522219,,0.000173221,0.50613,,0.000173221,0.497598,,0.000173221,0.494844,,0.000173221,0.493505,,0.000173221,0.492718
0.000177516,0.525166,,0.000177516,0.507827,,0.000177516,0.498568,,0.000177516,0.495524,,0.000177516,0.494033,,0.000177516,0.493152
0.000186106,0.531637,,0.000186106,0.511326,,0.000186106,0.500628,,0.000186106,0.496982,,0.000186106,0.49517,,0.000186106,0.494091
0.00019,0.534641,,0.00019,0.512967,,0.00019,0.501619,,0.00019,0.497689,,0.00019,0.495725,,0.00019,0.494551
0.000191718,0.535782,,0.000191718,0.513706,,0.000191718,0.502072,,0.000191718,0.498014,,0.000191718,0.49598,,0.000191718,0.494763
0.000195154,0.537831,,0.000195154,0.515201,,0.000195154,0.502993,,0.000195154,0.498676,,0.000195154,0.496501,,0.000195154,0.495195
0.000202026,0.541465,,0.000202026,0.518281,,0.000202026,0.504928,,0.000202026,0.500075,,0.000202026,0.497603,,0.000202026,0.496111
0.00021,0.545737,,0.00021,0.522007,,0.00021,0.50733,,0.00021,0.501825,,0.00021,0.498988,,0.00021,0.497264
0.000211374,0.546794,,0.000211374,0.522669,,0.000211374,0.507765,,0.000211374,0.502143,,0.000211374,0.49924,,0.000211374,0.497475
0.000214123,0.549242,,0.000214123,0.524004,,0.000214123,0.508646,,0.000214123,0.50279,,0.000214123,0.499754,,0.000214123,0.497903
0.000219621,0.554974,,0.000219621,0.526753,,0.000219621,0.510485,,0.000219621,0.504146,,0.000219621,0.500834,,0.000219621,0.498806
0.00023,0.56624,,0.00023,0.532287,,0.00023,0.514268,,0.00023,0.506958,,0.00023,0.503083,,0.00023,0.500692
0.0002311,0.567412,,0.0002311,0.532905,,0.0002311,0.514696,,0.0002311,0.507279,,0.0002311,0.50334,,0.0002311,0.500908
0.000233299,0.569547,,0.000233299,0.534153,,0.000233299,0.515563,,0.000233299,0.507927,,0.000233299,0.50386,,0.000233299,0.501345
0.000237697,0.573248,,0.000237697,0.536722,,0.000237697,0.517359,,0.000237697,0.509273,,0.000237697,0.504941,,0.000237697,0.502253
