"X--Kurve 1::[-I(L1:2), ll1 inductance=0 | I(TK1)]","Y--Kurve 1::[-I(L1:2), ll1 inductance=0 | I(TK1)]",,"X--Kurve 2::[-I(L1:2), ll1 inductance=0.000125 | I(TK1)]","Y--Kurve 2::[-I(L1:2), ll1 inductance=0.000125 | I(TK1)]",,"X--Kurve 3::[-I(L1:2), ll1 inductance=0.00025 | I(TK1)]","Y--Kurve 3::[-I(L1:2), ll1 inductance=0.00025 | I(TK1)]",,"X--Kurve 4::[-I(L1:2), ll1 inductance=0.000375 | I(TK1)]","Y--Kurve 4::[-I(L1:2), ll1 inductance=0.000375 | I(TK1)]",,"X--Kurve 5::[-I(L1:2), ll1 inductance=0.0005 | I(TK1)]","Y--Kurve 5::[-I(L1:2), ll1 inductance=0.0005 | I(TK1)]"
2.51e-05,0.754054,,2.51e-05,0.758157,,2.51e-05,0.758177,,2.51e-05,0.758184,,2.51e-05,0.758187
2.53e-05,0.754009,,2.53e-05,0.758156,,2.53e-05,0.758177,,2.53e-05,0.758184,,2.53e-05,0.758187
2.57e-05,0.753921,,2.57e-05,0.758154,,2.57e-05,0.758176,,2.57e-05,0.758183,,2.57e-05,0.758187
2.65e-05,0.753749,,2.65e-05,0.758151,,2.65e-05,0.758174,,2.65e-05,0.758182,,2.65e-05,0.758186
2.75e-05,0.753541,,2.75e-05,0.758145,,2.75e-05,0.758171,,2.75e-05,0.75818,,2.75e-05,0.758184
2.85e-05,0.753342,,2.85e-05,0.75814,,2.85e-05,0.758169,,2.85e-05,0.758178,,2.85e-05,0.758183
2.95e-05,0.75315,,2.95e-05,0.758135,,2.95e-05,0.758166,,2.95e-05,0.758176,,2.95e-05,0.758182
3e-05,0.753058,,3e-05,0.758132,,3e-05,0.758164,,3e-05,0.758175,,3e-05,0.758181
3.01e-05,0.75304,,3.01e-05,0.758131,,3.01e-05,0.758164,,3.01e-05,0.758175,,3.01e-05,0.758181
3.03e-05,0.753003,,3.03e-05,0.75813,,3.03e-05,0.758164,,3.03e-05,0.758175,,3.03e-05,0.75818
3.07e-05,0.752932,,3.07e-05,0.758127,,3.07e-05,0.758162,,3.07e-05,0.758174,,3.07e-05,0.75818
3.15e-05,0.752792,,3.15e-05,0.758123,,3.15e-05,0.75816,,3.15e-05,0.758172,,3.15e-05,0.758179
3.25e-05,0.752625,,3.25e-05,0.758116,,3.25e-05,0.758157,,3.25e-05,0.75817,,3.25e-05,0.758177
3.35e-05,0.752465,,3.35e-05,0.75811,,3.35e-05,0.758153,,3.35e-05,0.758168,,3.35e-05,0.758175
3.45e-05,0.752313,,3.45e-05,0.758103,,3.45e-05,0.75815,,3.45e-05,0.758166,,3.45e-05,0.758174
3.5e-05,0.75224,,3.5e-05,0.758099,,3.5e-05,0.758148,,3.5e-05,0.758164,,3.5e-05,0.758173
3.51e-05,0.752226,,3.51e-05,0.758098,,3.51e-05,0.758148,,3.51e-05,0.758164,,3.51e-05,0.758173
3.53e-05,0.752197,,3.53e-05,0.758097,,3.53e-05,0.758147,,3.53e-05,0.758164,,3.53e-05,0.758172
3.57e-05,0.752141,,3.57e-05,0.758094,,3.57e-05,0.758146,,3.57e-05,0.758163,,3.57e-05,0.758171
3.65e-05,0.752031,,3.65e-05,0.758088,,3.65e-05,0.758143,,3.65e-05,0.758161,,3.65e-05,0.75817
3.75e-05,0.751901,,3.75e-05,0.758081,,3.75e-05,0.758139,,3.75e-05,0.758158,,3.75e-05,0.758168
3.85e-05,0.751778,,3.85e-05,0.758073,,3.85e-05,0.758135,,3.85e-05,0.758156,,3.85e-05,0.758166
3.95e-05,0.751662,,3.95e-05,0.758065,,3.95e-05,0.758131,,3.95e-05,0.758153,,3.95e-05,0.758164
4e-05,0.751606,,4e-05,0.758061,,4e-05,0.758129,,4e-05,0.758152,,4e-05,0.758163
4.01e-05,0.751595,,4.01e-05,0.75806,,4.01e-05,0.758128,,4.01e-05,0.758151,,4.01e-05,0.758163
4.03e-05,0.751574,,4.03e-05,0.758059,,4.03e-05,0.758128,,4.03e-05,0.758151,,4.03e-05,0.758162
