"X--Kurve 1::[-I(R1:2), cc1 capacitance=0 | I(TK1)]","Y--Kurve 1::[-I(R1:2), cc1 capacitance=0 | I(TK1)]",,"X--Kurve 2::[-I(R1:2), cc1 capacitance=0.00016 | I(TK1)]","Y--Kurve 2::[-I(R1:2), cc1 capacitance=0.00016 | I(TK1)]",,"X--Kurve 3::[-I(R1:2), cc1 capacitance=0.00032 | I(TK1)]","Y--Kurve 3::[-I(R1:2), cc1 capacitance=0.00032 | I(TK1)]",,"X--Kurve 4::[-I(R1:2), cc1 capacitance=0.00048 | I(TK1)]","Y--Kurve 4::[-I(R1:2), cc1 capacitance=0.00048 | I(TK1)]",,"X--Kurve 5::[-I(R1:2), cc1 capacitance=0.0005 | I(TK1)]","Y--Kurve 5::[-I(R1:2), cc1 capacitance=0.0005 | I(TK1)]"
0.000191718,0.825545,,0.000191718,0.812192,,0.000191718,0.804991,,0.000191718,0.798451,,0.000191718,0.797709
0.000195154,0.82805,,0.000195154,0.814606,,0.000195154,0.806871,,0.000195154,0.800103,,0.000195154,0.799339
0.000202026,0.833094,,0.000202026,0.81948,,0.000202026,0.810788,,0.000202026,0.803555,,0.000202026,0.802744
0.00021,0.839041,,0.00021,0.825217,,0.00021,0.815573,,0.00021,0.807792,,0.00021,0.806923
0.000211374,0.841073,,0.000211374,0.826283,,0.000211374,0.81646,,0.000211374,0.808572,,0.000211374,0.807693
0.000214123,0.845074,,0.000214123,0.82854,,0.000214123,0.818311,,0.000214123,0.810191,,0.000214123,0.809288
0.000219621,0.853162,,0.000219621,0.833725,,0.000219621,0.822453,,0.000219621,0.81376,,0.000219621,0.8128
0.00023,0.868769,,0.00023,0.845381,,0.00023,0.831679,,0.00023,0.821613,,0.00023,0.820518
0.0002311,0.870272,,0.0002311,0.846738,,0.0002311,0.832761,,0.0002311,0.822531,,0.0002311,0.821419
0.000233299,0.872707,,0.000233299,0.849437,,0.000233299,0.834932,,0.000233299,0.824377,,0.000233299,0.823234
0.000237697,0.877607,,0.000237697,0.854757,,0.000237697,0.839318,,0.000237697,0.828138,,0.000237697,0.82693
0.000246493,0.887532,,0.000246493,0.865184,,0.000246493,0.848264,,0.000246493,0.835911,,0.000246493,0.83458
0.00025,0.891682,,0.00025,0.869298,,0.00025,0.8519,,0.00025,0.839106,,0.00025,0.837727
0.000251759,0.894083,,0.000251759,0.871393,,0.000251759,0.853761,,0.000251759,0.840747,,0.000251759,0.839344
0.000255278,0.89888,,0.000255278,0.875632,,0.000255278,0.857529,,0.000255278,0.844074,,0.000255278,0.842622
0.000262315,0.908591,,0.000262315,0.884391,,0.000262315,0.865338,,0.000262315,0.85099,,0.000262315,0.849439
0.00027,0.919505,,0.00027,0.894343,,0.00027,0.874259,,0.00027,0.858932,,0.00027,0.85727
0.000271407,0.918428,,0.000271407,0.895999,,0.000271407,0.875832,,0.000271407,0.860361,,0.000271407,0.858682
0.000274222,0.916017,,0.000274222,0.898918,,0.000274222,0.878779,,0.000274222,0.863093,,0.000274222,0.861385
0.000279852,0.911224,,0.000279852,0.902702,,0.000279852,0.883571,,0.000279852,0.867834,,0.000279852,0.866099
0.00029,0.902688,,0.00029,0.904491,,0.00029,0.889065,,0.00029,0.874212,,0.00029,0.872514
0.000291126,0.902809,,0.000291126,0.904397,,0.000291126,0.889459,,0.000291126,0.874764,,0.000291126,0.873076
0.000293378,0.902892,,0.000293378,0.904224,,0.000293378,0.890228,,0.000293378,0.875848,,0.000293378,0.87418
0.000297881,0.903058,,0.000297881,0.90396,,0.000297881,0.89165,,0.000297881,0.877904,,0.000297881,0.876278
0.000306888,0.90339,,0.000306888,0.903679,,0.000306888,0.894095,,0.000306888,0.881601,,0.000306888,0.880066
0.00031,0.903505,,0.00031,0.903644,,0.00031,0.894829,,0.00031,0.882758,,0.00031,0.881257
0.000311801,0.904148,,0.000311801,0.903688,,0.000311801,0.895249,,0.000311801,0.883411,,0.000311801,0.881929
0.000315404,0.905436,,0.000315404,0.903878,,0.000315404,0.89611,,0.000315404,0.884717,,0.000315404,0.883271
0.00032261,0.90802,,0.00032261,0.904784,,0.00032261,0.897944,,0.00032261,0.887327,,0.00032261,0.885947
0.00033,0.910691,,0.00033,0.906269,,0.00033,0.899961,,0.00033,0.890001,,0.00033,0.888681
0.000331441,0.910674,,0.000331441,0.906579,,0.000331441,0.900351,,0.000331441,0.890509,,0.000331441,0.889201
0.000334323,0.910624,,0.000334323,0.907151,,0.000334323,0.901101,,0.000334323,0.891499,,0.000334323,0.890214
0.000340088,0.910524,,0.000340088,0.90805,,0.000340088,0.902433,,0.000340088,0.89333,,0.000340088,0.892094
0.00035,0.910353,,0.00035,0.909036,,0.00035,0.904275,,0.00035,0.896059,,0.00035,0.894912
0.000351153,0.910559,,0.000351153,0.909123,,0.000351153,0.90446,,0.000351153,0.896346,,0.000351153,0.895209
0.000353459,0.910971,,0.000353459,0.90931,,0.000353459,0.90483,,0.000353459,0.896916,,0.000353459,0.8958
0.00035807,0.911796,,0.00035807,0.909758,,0.00035807,0.905577,,0.00035807,0.898037,,0.00035807,0.896962
0.000367294,0.913449,,0.000367294,0.910874,,0.000367294,0.907098,,0.000367294,0.900214,,0.000367294,0.899212
0.00038,0.915737,,0.00038,0.912734,,0.00038,0.90924,,0.00038,0.90309,,0.00038,0.902177
0.000381845,0.912232,,0.000381845,0.912689,,0.000381845,0.909378,,0.000381845,0.903376,,0.000381845,0.902479
0.000385534,0.905276,,0.000385534,0.911995,,0.000385534,0.90932,,0.000385534,0.903712,,0.000385534,0.902856
0.000392913,0.891601,,0.000392913,0.907598,,0.000392913,0.9074,,0.000392913,0.903073,,0.000392913,0.902341
0.0004,0.879014,,0.0004,0.90061,,0.0004,0.903642,,0.0004,0.901,,0.0004,0.900428
0.000401476,0.880017,,0.000401476,0.899131,,0.000401476,0.902762,,0.000401476,0.900472,,0.000401476,0.899935
0.000404427,0.881673,,0.000404427,0.896503,,0.000404427,0.901129,,0.000404427,0.899484,,0.000404427,0.899012
0.00041033,0.884998,,0.00041033,0.892972,,0.00041033,0.898572,,0.00041033,0.897899,,0.00041033,0.897532
0.00042,0.890493,,0.00042,0.890857,,0.00042,0.896135,,0.00042,0.896316,,0.00042,0.896063
0.000421181,0.890639,,0.000421181,0.890845,,0.000421181,0.89597,,0.000421181,0.896202,,0.000421181,0.895957
0.000423542,0.890862,,0.000423542,0.890834,,0.000423542,0.895656,,0.000423542,0.895981,,0.000423542,0.895755
0.000428264,0.891308,,0.000428264,0.890889,,0.000428264,0.895123,,0.000428264,0.895593,,0.000428264,0.895399
0.000437709,0.892202,,0.000437709,0.891233,,0.000437709,0.894381,,0.000437709,0.895007,,0.000437709,0.894864
0.00044,0.89242,,0.00044,0.891355,,0.00044,0.89426,,0.00044,0.894901,,0.00044,0.894767
0.000441889,0.890117,,0.000441889,0.891244,,0.000441889,0.894065,,0.000441889,0.894748,,0.000441889,0.894624
0.000445667,0.885543,,0.000445667,0.890628,,0.000445667,0.893476,,0.000445667,0.894306,,0.000445667,0.894207
0.000453223,0.876498,,0.000453223,0.88745,,0.000453223,0.89123,,0.000453223,0.89266,,0.000453223,0.892634
0.00046,0.86862,,0.00046,0.882955,,0.00046,0.888182,,0.00046,0.890411,,0.00046,0.890473
0.000461511,0.86763,,0.000461511,0.88183,,0.000461511,0.887399,,0.000461511,0.889825,,0.000461511,0.889908
0.000464533,0.865514,,0.000464533,0.879589,,0.000464533,0.885811,,0.000464533,0.888628,,0.000464533,0.888754
0.000470578,0.861304,,0.000470578,0.875162,,0.000470578,0.882521,,0.000470578,0.886097,,0.000470578,0.886307
0.00048,0.854819,,0.00048,0.868386,,0.00048,0.877143,,0.00048,0.88183,,0.00048,0.882168
0.000481209,0.856108,,0.000481209,0.867654,,0.000481209,0.876496,,0.000481209,0.881298,,0.000481209,0.88165
0.000483627,0.858597,,0.000483627,0.866426,,0.000483627,0.87532,,0.000483627,0.880307,,0.000483627,0.880684
0.000488462,0.863607,,0.000488462,0.865227,,0.000488462,0.873624,,0.000488462,0.878749,,0.000488462,0.879156
0.000498134,0.873761,,0.000498134,0.866626,,0.000498134,0.872512,,0.000498134,0.87718,,0.000498134,0.877584
0.0005,0.875881,,0.0005,0.867391,,0.0005,0.872623,,0.0005,0.877104,,0.0005,0.877499
0.000501934,0.881552,,0.000501934,0.868695,,0.000501934,0.873054,,0.000501934,0.87725,,0.000501934,0.877626
0.000505803,0.89307,,0.000505803,0.872125,,0.000505803,0.87443,,0.000505803,0.877908,,0.000505803,0.878235
0.00051354,0.91679,,0.00051354,0.883194,,0.00051354,0.88005,,0.00051354,0.881332,,0.00051354,0.881491
0.00052,0.938181,,0.00052,0.896031,,0.00052,0.887461,,0.00052,0.886268,,0.00052,0.886223
0.000521547,0.93834,,0.000521547,0.899209,,0.000521547,0.889446,,0.000521547,0.88764,,0.000521547,0.887543
0.000524642,0.937668,,0.000524642,0.905036,,0.000524642,0.893236,,0.000524642,0.890295,,0.000524642,0.890099
0.000530832,0.936325,,0.000530832,0.913967,,0.000530832,0.899809,,0.000530832,0.895092,,0.000530832,0.894733
0.00054,0.934343,,0.00054,0.922253,,0.00054,0.907437,,0.00054,0.901066,,0.00054,0.900537
0.000541238,0.931883,,0.000541238,0.922841,,0.000541238,0.908206,,0.000541238,0.901719,,0.000541238,0.901175
0.000543714,0.926986,,0.000543714,0.923645,,0.000543714,0.909542,,0.000543714,0.902894,,0.000543714,0.902326
0.000548666,0.917309,,0.000548666,0.923301,,0.000548666,0.911079,,0.000548666,0.904492,,0.000548666,0.903908
0.000558569,0.898403,,0.000558569,0.91693,,0.000558569,0.910338,,0.000558569,0.905028,,0.000558569,0.904514
0.00056,0.896152,,0.00056,0.915509,,0.00056,0.909857,,0.00056,0.904837,,0.00056,0.904342
0.000561981,0.897745,,0.000561981,0.913836,,0.000561981,0.909259,,0.000561981,0.904599,,0.000561981,0.90413
0.000565942,0.90093,,0.000565942,0.911107,,0.000565942,0.908279,,0.000565942,0.904247,,0.000565942,0.903822
0.000573865,0.907351,,0.000573865,0.908709,,0.000573865,0.9075,,0.000573865,0.904233,,0.000573865,0.903861
0.00058,0.912432,,0.00058,0.909037,,0.00058,0.907856,,0.00058,0.90481,,0.00058,0.904452
0.000581585,0.913451,,0.000581585,0.909376,,0.000581585,0.908079,,0.000581585,0.905043,,0.000581585,0.904685
0.000584754,0.915438,,0.000584754,0.910154,,0.000584754,0.908587,,0.000584754,0.90555,,0.000584754,0.905191
0.000591092,0.919431,,0.000591092,0.91223,,0.000591092,0.909945,,0.000591092,0.906798,,0.000591092,0.906428
0.0006,0.925102,,0.0006,0.916032,,0.0006,0.912524,,0.0006,0.909034,,0.0006,0.908632
0.000601268,0.923787,,0.000601268,0.916516,,0.000601268,0.912886,,0.000601268,0.909354,,0.000601268,0.908948
0.000603803,0.921097,,0.000603803,0.917255,,0.000603803,0.913501,,0.000603803,0.909922,,0.000603803,0.909511
0.000608874,0.915751,,0.000608874,0.91753,,0.000608874,0.914115,,0.000608874,0.910644,,0.000608874,0.910238
0.000619015,0.905198,,0.000619015,0.914564,,0.000619015,0.91326,,0.000619015,0.910616,,0.000619015,0.910275
0.00063,0.894115,,0.00063,0.907895,,0.00063,0.909834,,0.00063,0.908695,,0.00063,0.908482
0.000632,0.895421,,0.000632,0.90671,,0.000632,0.909115,,0.000632,0.908246,,0.000632,0.908058
0.000636,0.897769,,0.000636,0.904789,,0.000636,0.907867,,0.000636,0.907459,,0.000636,0.907313
0.000644,0.902494,,0.000644,0.903173,,0.000644,0.906398,,0.000644,0.906501,,0.000644,0.906409
0.00065,0.906095,,0.00065,0.903478,,0.00065,0.906091,,0.00065,0.906281,,0.00065,0.906207
0.0006516,0.907447,,0.0006516,0.903786,,0.0006516,0.906146,,0.0006516,0.906313,,0.0006516,0.906239
