"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0,0.488807,,0,0.488807,,0,0.488807,,0,0.488807,,0,0.488807,,0,0.488807
2e-07,0.488802,,2e-07,0.488807,,2e-07,0.488807,,2e-07,0.488807,,2e-07,0.488807,,2e-07,0.488807
4e-07,0.488791,,4e-07,0.488807,,4e-07,0.488807,,4e-07,0.488807,,4e-07,0.488807,,4e-07,0.488807
8e-07,0.488761,,8e-07,0.488807,,8e-07,0.488807,,8e-07,0.488807,,8e-07,0.488807,,8e-07,0.488807
1.6e-06,0.488647,,1.6e-06,0.488807,,1.6e-06,0.488807,,1.6e-06,0.488807,,1.6e-06,0.488807,,1.6e-06,0.488807
3.2e-06,0.488242,,3.2e-06,0.488806,,3.2e-06,0.488806,,3.2e-06,0.488806,,3.2e-06,0.488806,,3.2e-06,0.488806
6.4e-06,0.486945,,6.4e-06,0.488802,,6.4e-06,0.488803,,6.4e-06,0.488804,,6.4e-06,0.488804,,6.4e-06,0.488804
1.28e-05,0.483382,,1.28e-05,0.488777,,1.28e-05,0.488787,,1.28e-05,0.488791,,1.28e-05,0.488793,,1.28e-05,0.488794
2e-05,0.478831,,2e-05,0.488709,,2e-05,0.488747,,2e-05,0.48876,,2e-05,0.488766,,2e-05,0.48877
2.128e-05,0.478246,,2.128e-05,0.488691,,2.128e-05,0.488737,,2.128e-05,0.488752,,2.128e-05,0.48876,,2.128e-05,0.488764
2.384e-05,0.477429,,2.384e-05,0.488652,,2.384e-05,0.488714,,2.384e-05,0.488735,,2.384e-05,0.488746,,2.384e-05,0.488752
2.896e-05,0.477172,,2.896e-05,0.488555,,2.896e-05,0.488661,,2.896e-05,0.488696,,2.896e-05,0.488714,,2.896e-05,0.488725
3.408e-05,0.477787,,3.408e-05,0.488437,,3.408e-05,0.488597,,3.408e-05,0.488651,,3.408e-05,0.488678,,3.408e-05,0.488694
4e-05,0.478811,,4e-05,0.488276,,4e-05,0.488512,,4e-05,0.488591,,4e-05,0.48863,,4e-05,0.488654
4.1024e-05,0.479066,,4.1024e-05,0.488246,,4.1024e-05,0.488496,,4.1024e-05,0.48858,,4.1024e-05,0.488622,,4.1024e-05,0.488647
4.3072e-05,0.479681,,4.3072e-05,0.488184,,4.3072e-05,0.488463,,4.3072e-05,0.488557,,4.3072e-05,0.488604,,4.3072e-05,0.488633
4.7168e-05,0.481352,,4.7168e-05,0.488057,,4.7168e-05,0.488397,,4.7168e-05,0.488511,,4.7168e-05,0.488569,,4.7168e-05,0.488604
5.536e-05,0.485471,,5.536e-05,0.487798,,5.536e-05,0.488263,,5.536e-05,0.488421,,5.536e-05,0.4885,,5.536e-05,0.488548
6e-05,0.488014,,6e-05,0.487656,,6e-05,0.48819,,6e-05,0.488372,,6e-05,0.488464,,6e-05,0.488519
6.16384e-05,0.488944,,6.16384e-05,0.487608,,6.16384e-05,0.488166,,6.16384e-05,0.488356,,6.16384e-05,0.488452,,6.16384e-05,0.48851
6.49152e-05,0.490831,,6.49152e-05,0.487516,,6.49152e-05,0.48812,,6.49152e-05,0.488326,,6.49152e-05,0.488429,,6.49152e-05,0.488492
7.14688e-05,0.494709,,7.14688e-05,0.487357,,7.14688e-05,0.48804,,7.14688e-05,0.488274,,7.14688e-05,0.488393,,7.14688e-05,0.488464
8e-05,0.499892,,8e-05,0.487221,,8e-05,0.487972,,8e-05,0.488233,,8e-05,0.488365,,8e-05,0.488446
8.13107e-05,0.500601,,8.13107e-05,0.487209,,8.13107e-05,0.487966,,8.13107e-05,0.48823,,8.13107e-05,0.488364,,8.13107e-05,0.488445
8.39322e-05,0.501842,,8.39322e-05,0.487191,,8.39322e-05,0.487958,,8.39322e-05,0.488226,,8.39322e-05,0.488362,,8.39322e-05,0.488445
8.9175e-05,0.503629,,8.9175e-05,0.487186,,8.9175e-05,0.487955,,8.9175e-05,0.488227,,8.9175e-05,0.488366,,8.9175e-05,0.488451
9.44179e-05,0.504969,,9.44179e-05,0.487222,,9.44179e-05,0.487973,,9.44179e-05,0.488243,,9.44179e-05,0.488381,,9.44179e-05,0.488465
0.0001,0.50625,,0.0001,0.487309,,0.0001,0.488017,,0.0001,0.488275,,0.0001,0.488409,,0.0001,0.48849
0.000101049,0.506523,,0.000101049,0.487332,,0.000101049,0.488028,,0.000101049,0.488283,,0.000101049,0.488415,,0.000101049,0.488496
0.000103146,0.507133,,0.000103146,0.487382,,0.000103146,0.488053,,0.000103146,0.488301,,0.000103146,0.48843,,0.000103146,0.488509
0.00010734,0.508628,,0.00010734,0.487506,,0.00010734,0.488115,,0.00010734,0.488346,,0.00010734,0.488467,,0.00010734,0.488541
0.000115729,0.512108,,0.000115729,0.487859,,0.000115729,0.488292,,0.000115729,0.488471,,0.000115729,0.488567,,0.000115729,0.488627
0.00013,0.518473,,0.00013,0.488819,,0.00013,0.488778,,0.00013,0.48881,,0.00013,0.488835,,0.00013,0.488853
0.000131678,0.519106,,0.000131678,0.488967,,0.000131678,0.488853,,0.000131678,0.488862,,0.000131678,0.488876,,0.000131678,0.488888
0.000135033,0.520137,,0.000135033,0.489276,,0.000135033,0.48901,,0.000135033,0.488971,,0.000135033,0.488962,,0.000135033,0.488959
0.000141744,0.521352,,0.000141744,0.489976,,0.000141744,0.489367,,0.000141744,0.489217,,0.000141744,0.489154,,0.000141744,0.489119
0.00015,0.52226,,0.00015,0.490984,,0.00015,0.489881,,0.00015,0.489571,,0.00015,0.489428,,0.00015,0.489346
0.000151342,0.522337,,0.000151342,0.491164,,0.000151342,0.489973,,0.000151342,0.489634,,0.000151342,0.489477,,0.000151342,0.489387
0.000154027,0.52241,,0.000154027,0.491534,,0.000154027,0.490162,,0.000154027,0.489764,,0.000154027,0.489578,,0.000154027,0.48947
0.000159395,0.522228,,0.000159395,0.492318,,0.000159395,0.490564,,0.000159395,0.49004,,0.000159395,0.489791,,0.000159395,0.489645
0.00017,0.521397,,0.00017,0.494031,,0.00017,0.491448,,0.00017,0.490645,,0.00017,0.490257,,0.00017,0.490028
0.000171074,0.52145,,0.000171074,0.494218,,0.000171074,0.491545,,0.000171074,0.490712,,0.000171074,0.490308,,0.000171074,0.490069
0.000173221,0.521808,,0.000173221,0.494595,,0.000173221,0.491741,,0.000173221,0.490846,,0.000173221,0.490411,,0.000173221,0.490154
0.000177516,0.523601,,0.000177516,0.495378,,0.000177516,0.49215,,0.000177516,0.491127,,0.000177516,0.490628,,0.000177516,0.490332
0.000186106,0.529097,,0.000186106,0.497068,,0.000186106,0.493042,,0.000186106,0.491743,,0.000186106,0.491103,,0.000186106,0.490723
0.00019,0.531992,,0.00019,0.497893,,0.00019,0.493482,,0.00019,0.492047,,0.00019,0.491339,,0.00019,0.490917
0.000191718,0.533199,,0.000191718,0.498274,,0.000191718,0.493686,,0.000191718,0.492188,,0.000191718,0.491448,,0.000191718,0.491007
0.000195154,0.535463,,0.000195154,0.499052,,0.000195154,0.494103,,0.000195154,0.492477,,0.000195154,0.491672,,0.000195154,0.491192
0.000202026,0.539455,,0.000202026,0.500704,,0.000202026,0.494995,,0.000202026,0.493097,,0.000202026,0.492153,,0.000202026,0.491588
0.00021,0.543781,,0.00021,0.50279,,0.00021,0.496131,,0.00021,0.493889,,0.00021,0.492767,,0.00021,0.492094
0.000211374,0.544667,,0.000211374,0.503171,,0.000211374,0.496341,,0.000211374,0.494035,,0.000211374,0.49288,,0.000211374,0.492187
0.000214123,0.54666,,0.000214123,0.503945,,0.000214123,0.496766,,0.000214123,0.494332,,0.000214123,0.493111,,0.000214123,0.492378
0.000219621,0.551553,,0.000219621,0.50557,,0.000219621,0.497664,,0.000219621,0.494961,,0.000219621,0.4936,,0.000219621,0.492781
0.00023,0.562201,,0.00023,0.508943,,0.00023,0.499548,,0.00023,0.496284,,0.00023,0.494631,,0.00023,0.493633
0.0002311,0.563372,,0.0002311,0.509328,,0.0002311,0.499764,,0.0002311,0.496436,,0.0002311,0.49475,,0.0002311,0.493732
0.000233299,0.56562,,0.000233299,0.510106,,0.000233299,0.500202,,0.000233299,0.496745,,0.000233299,0.494991,,0.000233299,0.493931
0.000237697,0.569716,,0.000237697,0.511725,,0.000237697,0.501116,,0.000237697,0.497389,,0.000237697,0.495493,,0.000237697,0.494347
0.000246493,0.577239,,0.000246493,0.515213,,0.000246493,0.5031,,0.000246493,0.498789,,0.000246493,0.496587,,0.000246493,0.495251
0.00025,0.580172,,0.00025,0.516699,,0.00025,0.50395,,0.00025,0.49939,,0.00025,0.497056,,0.00025,0.49564
0.000251759,0.581718,,0.000251759,0.517473,,0.000251759,0.504394,,0.000251759,0.499705,,0.000251759,0.497302,,0.000251759,0.495843
0.000255278,0.584905,,0.000255278,0.51905,,0.000255278,0.5053,,0.000255278,0.500347,,0.000255278,0.497804,,0.000255278,0.496258
0.000262315,0.591656,,0.000262315,0.522384,,0.000262315,0.507227,,0.000262315,0.501713,,0.000262315,0.498873,,0.000262315,0.497142
0.00027,0.599396,,0.00027,0.526307,,0.00027,0.509511,,0.00027,0.503337,,0.00027,0.500144,,0.00027,0.498194
0.000271407,0.600422,,0.000271407,0.527062,,0.000271407,0.509953,,0.000271407,0.503651,,0.000271407,0.50039,,0.000271407,0.498398
0.000274222,0.601751,,0.000274222,0.528591,,0.000274222,0.510848,,0.000274222,0.504288,,0.000274222,0.500888,,0.000274222,0.49881
0.000279852,0.601452,,0.000279852,0.531752,,0.000279852,0.512704,,0.000279852,0.505609,,0.000279852,0.501921,,0.000279852,0.499664
0.00029,0.596776,,0.00029,0.537735,,0.00029,0.51625,,0.00029,0.508135,,0.00029,0.503895,,0.00029,0.501293
0.000291126,0.596221,,0.000291126,0.538421,,0.000291126,0.516659,,0.000291126,0.508427,,0.000291126,0.504123,,0.000291126,0.501481
0.000293378,0.595299,,0.000293378,0.539799,,0.000293378,0.517484,,0.000293378,0.509015,,0.000293378,0.504583,,0.000293378,0.50186
0.000297881,0.594266,,0.000297881,0.542595,,0.000297881,0.519166,,0.000297881,0.510217,,0.000297881,0.505523,,0.000297881,0.502635
0.000306888,0.593695,,0.000306888,0.54832,,0.000306888,0.522651,,0.000306888,0.512716,,0.000306888,0.507479,,0.000306888,0.504249
0.00031,0.593726,,0.00031,0.550336,,0.00031,0.523891,,0.00031,0.513608,,0.00031,0.508178,,0.00031,0.504826
0.000311801,0.593856,,0.000311801,0.551513,,0.000311801,0.52462,,0.000311801,0.514133,,0.000311801,0.50859,,0.000311801,0.505166
