"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0,14.8191,,0,14.8191,,0,14.8191,,0,14.8191,,0,14.8191,,0,14.8191
2e-07,14.8231,,2e-07,14.8191,,2e-07,14.8191,,2e-07,14.8191,,2e-07,14.8191,,2e-07,14.8191
4e-07,14.8269,,4e-07,14.8191,,4e-07,14.8191,,4e-07,14.8191,,4e-07,14.8191,,4e-07,14.8191
8e-07,14.8341,,8e-07,14.8192,,8e-07,14.8192,,8e-07,14.8192,,8e-07,14.8192,,8e-07,14.8192
1.6e-06,14.847,,1.6e-06,14.8192,,1.6e-06,14.8192,,1.6e-06,14.8192,,1.6e-06,14.8192,,1.6e-06,14.8192
3.2e-06,14.8675,,3.2e-06,14.8192,,3.2e-06,14.8192,,3.2e-06,14.8192,,3.2e-06,14.8192,,3.2e-06,14.8192
6.4e-06,14.8933,,6.4e-06,14.8194,,6.4e-06,14.8193,,6.4e-06,14.8193,,6.4e-06,14.8193,,6.4e-06,14.8193
1.28e-05,14.9147,,1.28e-05,14.82,,1.28e-05,14.8197,,1.28e-05,14.8196,,1.28e-05,14.8195,,1.28e-05,14.8195
2e-05,14.919,,2e-05,14.8211,,2e-05,14.8203,,2e-05,14.82,,2e-05,14.8199,,2e-05,14.8198
2.128e-05,14.8916,,2.128e-05,14.8213,,2.128e-05,14.8204,,2.128e-05,14.8201,,2.128e-05,14.8199,,2.128e-05,14.8198
2.384e-05,14.8505,,2.384e-05,14.8217,,2.384e-05,14.8206,,2.384e-05,14.8202,,2.384e-05,14.82,,2.384e-05,14.8199
2.896e-05,14.8114,,2.896e-05,14.8224,,2.896e-05,14.8209,,2.896e-05,14.8204,,2.896e-05,14.8202,,2.896e-05,14.82
3.408e-05,14.7993,,3.408e-05,14.823,,3.408e-05,14.8212,,3.408e-05,14.8206,,3.408e-05,14.8203,,3.408e-05,14.8201
4e-05,14.7949,,4e-05,14.8237,,4e-05,14.8216,,4e-05,14.8208,,4e-05,14.8205,,4e-05,14.8203
4.1024e-05,14.7854,,4.1024e-05,14.8238,,4.1024e-05,14.8216,,4.1024e-05,14.8209,,4.1024e-05,14.8205,,4.1024e-05,14.8203
4.3072e-05,14.7698,,4.3072e-05,14.8239,,4.3072e-05,14.8217,,4.3072e-05,14.8209,,4.3072e-05,14.8205,,4.3072e-05,14.8203
4.7168e-05,14.7521,,4.7168e-05,14.8242,,4.7168e-05,14.8218,,4.7168e-05,14.8209,,4.7168e-05,14.8205,,4.7168e-05,14.8203
5.536e-05,14.7393,,5.536e-05,14.8242,,5.536e-05,14.8218,,5.536e-05,14.8209,,5.536e-05,14.8205,,5.536e-05,14.8202
6e-05,14.7361,,6e-05,14.8241,,6e-05,14.8217,,6e-05,14.8208,,6e-05,14.8204,,6e-05,14.8201
6.16384e-05,14.7339,,6.16384e-05,14.824,,6.16384e-05,14.8216,,6.16384e-05,14.8208,,6.16384e-05,14.8204,,6.16384e-05,14.8201
6.49152e-05,14.7309,,6.49152e-05,14.8237,,6.49152e-05,14.8214,,6.49152e-05,14.8207,,6.49152e-05,14.8203,,6.49152e-05,14.82
7.14688e-05,14.727,,7.14688e-05,14.8229,,7.14688e-05,14.821,,7.14688e-05,14.8204,,7.14688e-05,14.82,,7.14688e-05,14.8198
8e-05,14.7228,,8e-05,14.8213,,8e-05,14.8202,,8e-05,14.8198,,8e-05,14.8195,,8e-05,14.8194
8.13107e-05,14.7336,,8.13107e-05,14.821,,8.13107e-05,14.8201,,8.13107e-05,14.8197,,8.13107e-05,14.8195,,8.13107e-05,14.8193
8.39322e-05,14.7534,,8.39322e-05,14.8205,,8.39322e-05,14.8198,,8.39322e-05,14.8195,,8.39322e-05,14.8193,,8.39322e-05,14.8192
8.9175e-05,14.7723,,8.9175e-05,14.8193,,8.9175e-05,14.8192,,8.9175e-05,14.8191,,8.9175e-05,14.819,,8.9175e-05,14.819
9.44179e-05,14.7778,,9.44179e-05,14.8181,,9.44179e-05,14.8186,,9.44179e-05,14.8187,,9.44179e-05,14.8187,,9.44179e-05,14.8187
0.0001,14.7792,,0.0001,14.8167,,0.0001,14.8179,,0.0001,14.8182,,0.0001,14.8184,,0.0001,14.8184
0.000101049,14.7735,,0.000101049,14.8164,,0.000101049,14.8178,,0.000101049,14.8181,,0.000101049,14.8183,,0.000101049,14.8184
0.000103146,14.7641,,0.000103146,14.8158,,0.000103146,14.8175,,0.000103146,14.8179,,0.000103146,14.8181,,0.000103146,14.8183
0.00010734,14.7532,,0.00010734,14.8146,,0.00010734,14.8169,,0.00010734,14.8175,,0.00010734,14.8178,,0.00010734,14.818
0.000115729,14.7447,,0.000115729,14.8119,,0.000115729,14.8155,,0.000115729,14.8166,,0.000115729,14.8171,,0.000115729,14.8174
0.00013,14.7402,,0.00013,14.8065,,0.00013,14.8128,,0.00013,14.8147,,0.00013,14.8156,,0.00013,14.8162
0.000131678,14.7514,,0.000131678,14.8059,,0.000131678,14.8124,,0.000131678,14.8145,,0.000131678,14.8155,,0.000131678,14.816
0.000135033,14.7718,,0.000135033,14.8045,,0.000135033,14.8117,,0.000135033,14.814,,0.000135033,14.8151,,0.000135033,14.8158
0.000141744,14.7885,,0.000141744,14.8019,,0.000141744,14.8104,,0.000141744,14.8131,,0.000141744,14.8144,,0.000141744,14.8152
0.00015,14.7923,,0.00015,14.7986,,0.00015,14.8087,,0.00015,14.8119,,0.00015,14.8135,,0.00015,14.8145
0.000151342,14.7981,,0.000151342,14.7981,,0.000151342,14.8084,,0.000151342,14.8117,,0.000151342,14.8134,,0.000151342,14.8144
0.000154027,14.8073,,0.000154027,14.7971,,0.000154027,14.8078,,0.000154027,14.8114,,0.000154027,14.8131,,0.000154027,14.8142
0.000159395,14.8164,,0.000159395,14.7951,,0.000159395,14.8068,,0.000159395,14.8107,,0.000159395,14.8126,,0.000159395,14.8138
0.00017,14.821,,0.00017,14.7915,,0.00017,14.8048,,0.00017,14.8093,,0.00017,14.8116,,0.00017,14.8129
0.000171074,14.7997,,0.000171074,14.7911,,0.000171074,14.8046,,0.000171074,14.8092,,0.000171074,14.8115,,0.000171074,14.8128
0.000173221,14.7643,,0.000173221,14.7903,,0.000173221,14.8042,,0.000173221,14.8089,,0.000173221,14.8112,,0.000173221,14.8126
0.000177516,14.7237,,0.000177516,14.7887,,0.000177516,14.8032,,0.000177516,14.8082,,0.000177516,14.8107,,0.000177516,14.8122
0.000186106,14.6949,,0.000186106,14.7851,,0.000186106,14.8011,,0.000186106,14.8067,,0.000186106,14.8095,,0.000186106,14.8112
0.00019,14.6895,,0.00019,14.7832,,0.00019,14.8,,0.00019,14.8059,,0.00019,14.8089,,0.00019,14.8107
0.000191718,14.6973,,0.000191718,14.7824,,0.000191718,14.7995,,0.000191718,14.8056,,0.000191718,14.8086,,0.000191718,14.8105
0.000195154,14.7096,,0.000195154,14.7807,,0.000195154,14.7986,,0.000195154,14.8049,,0.000195154,14.8081,,0.000195154,14.81
0.000202026,14.7184,,0.000202026,14.7772,,0.000202026,14.7965,,0.000202026,14.8034,,0.000202026,14.8069,,0.000202026,14.8091
0.00021,14.718,,0.00021,14.773,,0.00021,14.794,,0.00021,14.8016,,0.00021,14.8055,,0.00021,14.8079
0.000211374,14.7018,,0.000211374,14.7722,,0.000211374,14.7935,,0.000211374,14.8013,,0.000211374,14.8053,,0.000211374,14.8077
0.000214123,14.6768,,0.000214123,14.7706,,0.000214123,14.7926,,0.000214123,14.8006,,0.000214123,14.8047,,0.000214123,14.8072
0.000219621,14.6499,,0.000219621,14.7672,,0.000219621,14.7905,,0.000219621,14.7991,,0.000219621,14.8035,,0.000219621,14.8062
0.00023,14.6303,,0.00023,14.7599,,0.00023,14.7861,,0.00023,14.7959,,0.00023,14.801,,0.00023,14.8042
0.0002311,14.6318,,0.0002311,14.7591,,0.0002311,14.7856,,0.0002311,14.7956,,0.0002311,14.8007,,0.0002311,14.8039
0.000233299,14.6438,,0.000233299,14.7575,,0.000233299,14.7846,,0.000233299,14.7948,,0.000233299,14.8002,,0.000233299,14.8035
0.000237697,14.6567,,0.000237697,14.7541,,0.000237697,14.7826,,0.000237697,14.7934,,0.000237697,14.799,,0.000237697,14.8025
0.000246493,14.6623,,0.000246493,14.747,,0.000246493,14.7782,,0.000246493,14.7903,,0.000246493,14.7966,,0.000246493,14.8005
0.00025,14.6586,,0.00025,14.7441,,0.00025,14.7764,,0.00025,14.789,,0.00025,14.7956,,0.00025,14.7997
0.000251759,14.6529,,0.000251759,14.7425,,0.000251759,14.7755,,0.000251759,14.7883,,0.000251759,14.795,,0.000251759,14.7992
0.000255278,14.6438,,0.000255278,14.7395,,0.000255278,14.7736,,0.000255278,14.7869,,0.000255278,14.794,,0.000255278,14.7983
0.000262315,14.633,,0.000262315,14.7331,,0.000262315,14.7696,,0.000262315,14.7841,,0.000262315,14.7917,,0.000262315,14.7964
0.00027,14.6242,,0.00027,14.7258,,0.00027,14.765,,0.00027,14.7807,,0.00027,14.7891,,0.00027,14.7942
0.000271407,14.6685,,0.000271407,14.7245,,0.000271407,14.7642,,0.000271407,14.7801,,0.000271407,14.7886,,0.000271407,14.7939
0.000274222,14.745,,0.000274222,14.722,,0.000274222,14.7627,,0.000274222,14.779,,0.000274222,14.7878,,0.000274222,14.7932
0.000279852,14.8258,,0.000279852,14.7173,,0.000279852,14.7597,,0.000279852,14.7769,,0.000279852,14.7861,,0.000279852,14.7919
0.00029,14.8691,,0.00029,14.7101,,0.00029,14.7548,,0.00029,14.7734,,0.00029,14.7834,,0.00029,14.7896
0.000291126,14.8533,,0.000291126,14.7094,,0.000291126,14.7543,,0.000291126,14.773,,0.000291126,14.7831,,0.000291126,14.7894
0.000293378,14.8287,,0.000293378,14.708,,0.000293378,14.7532,,0.000293378,14.7722,,0.000293378,14.7824,,0.000293378,14.7889
0.000297881,14.7999,,0.000297881,14.7053,,0.000297881,14.7512,,0.000297881,14.7706,,0.000297881,14.7812,,0.000297881,14.7878
0.000306888,14.7795,,0.000306888,14.7004,,0.000306888,14.7473,,0.000306888,14.7676,,0.000306888,14.7788,,0.000306888,14.7858
0.00031,14.7782,,0.00031,14.6988,,0.00031,14.7459,,0.00031,14.7666,,0.00031,14.778,,0.00031,14.7852
0.000311801,14.7694,,0.000311801,14.6979,,0.000311801,14.7452,,0.000311801,14.766,,0.000311801,14.7775,,0.000311801,14.7848
