"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0,14.8191,,0,14.8191,,0,14.8191,,0,14.8191,,0,14.8191,,0,14.8191
2e-07,14.8228,,2e-07,14.8191,,2e-07,14.8191,,2e-07,14.8191,,2e-07,14.8191,,2e-07,14.8191
4e-07,14.826,,4e-07,14.8191,,4e-07,14.8191,,4e-07,14.8191,,4e-07,14.8191,,4e-07,14.8191
8e-07,14.8319,,8e-07,14.8192,,8e-07,14.8192,,8e-07,14.8192,,8e-07,14.8192,,8e-07,14.8192
1.6e-06,14.8401,,1.6e-06,14.8192,,1.6e-06,14.8192,,1.6e-06,14.8192,,1.6e-06,14.8192,,1.6e-06,14.8192
3.2e-06,14.8486,,3.2e-06,14.8192,,3.2e-06,14.8192,,3.2e-06,14.8192,,3.2e-06,14.8192,,3.2e-06,14.8192
6.4e-06,14.8534,,6.4e-06,14.8194,,6.4e-06,14.8193,,6.4e-06,14.8193,,6.4e-06,14.8193,,6.4e-06,14.8193
1.28e-05,14.8545,,1.28e-05,14.82,,1.28e-05,14.8197,,1.28e-05,14.8196,,1.28e-05,14.8195,,1.28e-05,14.8195
2e-05,14.8554,,2e-05,14.8211,,2e-05,14.8203,,2e-05,14.82,,2e-05,14.8199,,2e-05,14.8198
2.128e-05,14.8362,,2.128e-05,14.8213,,2.128e-05,14.8204,,2.128e-05,14.8201,,2.128e-05,14.8199,,2.128e-05,14.8198
2.384e-05,14.8165,,2.384e-05,14.8217,,2.384e-05,14.8206,,2.384e-05,14.8202,,2.384e-05,14.82,,2.384e-05,14.8199
2.896e-05,14.8132,,2.896e-05,14.8223,,2.896e-05,14.8209,,2.896e-05,14.8204,,2.896e-05,14.8202,,2.896e-05,14.82
3.408e-05,14.8135,,3.408e-05,14.8229,,3.408e-05,14.8212,,3.408e-05,14.8206,,3.408e-05,14.8203,,3.408e-05,14.8201
4e-05,14.8128,,4e-05,14.8235,,4e-05,14.8215,,4e-05,14.8208,,4e-05,14.8204,,4e-05,14.8202
4.1024e-05,14.8059,,4.1024e-05,14.8236,,4.1024e-05,14.8215,,4.1024e-05,14.8208,,4.1024e-05,14.8205,,4.1024e-05,14.8202
4.3072e-05,14.7975,,4.3072e-05,14.8237,,4.3072e-05,14.8216,,4.3072e-05,14.8209,,4.3072e-05,14.8205,,4.3072e-05,14.8203
4.7168e-05,14.7939,,4.7168e-05,14.8239,,4.7168e-05,14.8217,,4.7168e-05,14.8209,,4.7168e-05,14.8205,,4.7168e-05,14.8203
5.536e-05,14.7923,,5.536e-05,14.8238,,5.536e-05,14.8216,,5.536e-05,14.8208,,5.536e-05,14.8204,,5.536e-05,14.8202
6e-05,14.7903,,6e-05,14.8235,,6e-05,14.8215,,6e-05,14.8207,,6e-05,14.8203,,6e-05,14.8201
6.16384e-05,14.789,,6.16384e-05,14.8234,,6.16384e-05,14.8214,,6.16384e-05,14.8207,,6.16384e-05,14.8203,,6.16384e-05,14.8201
6.49152e-05,14.7876,,6.49152e-05,14.823,,6.49152e-05,14.8213,,6.49152e-05,14.8206,,6.49152e-05,14.8202,,6.49152e-05,14.82
7.14688e-05,14.7858,,7.14688e-05,14.8221,,7.14688e-05,14.8208,,7.14688e-05,14.8202,,7.14688e-05,14.8199,,7.14688e-05,14.8197
8e-05,14.7831,,8e-05,14.8203,,8e-05,14.8199,,8e-05,14.8196,,8e-05,14.8195,,8e-05,14.8193
8.13107e-05,14.7909,,8.13107e-05,14.82,,8.13107e-05,14.8198,,8.13107e-05,14.8195,,8.13107e-05,14.8194,,8.13107e-05,14.8193
8.39322e-05,14.8014,,8.39322e-05,14.8193,,8.39322e-05,14.8195,,8.39322e-05,14.8193,,8.39322e-05,14.8192,,8.39322e-05,14.8192
8.9175e-05,14.8028,,8.9175e-05,14.8181,,8.9175e-05,14.8189,,8.9175e-05,14.8189,,8.9175e-05,14.8189,,8.9175e-05,14.8189
9.44179e-05,14.8019,,9.44179e-05,14.8167,,9.44179e-05,14.8182,,9.44179e-05,14.8185,,9.44179e-05,14.8186,,9.44179e-05,14.8187
0.0001,14.8015,,0.0001,14.8152,,0.0001,14.8175,,0.0001,14.818,,0.0001,14.8182,,0.0001,14.8184
0.000101049,14.7971,,0.000101049,14.8149,,0.000101049,14.8174,,0.000101049,14.8179,,0.000101049,14.8182,,0.000101049,14.8183
0.000103146,14.7916,,0.000103146,14.8143,,0.000103146,14.8171,,0.000103146,14.8177,,0.000103146,14.818,,0.000103146,14.8182
0.00010734,14.7891,,0.00010734,14.8131,,0.00010734,14.8164,,0.00010734,14.8173,,0.00010734,14.8177,,0.00010734,14.8179
0.000115729,14.7877,,0.000115729,14.8104,,0.000115729,14.8151,,0.000115729,14.8164,,0.000115729,14.817,,0.000115729,14.8173
0.00013,14.7847,,0.00013,14.8054,,0.00013,14.8124,,0.00013,14.8145,,0.00013,14.8155,,0.00013,14.8161
0.000131678,14.7923,,0.000131678,14.8048,,0.000131678,14.812,,0.000131678,14.8143,,0.000131678,14.8154,,0.000131678,14.816
0.000135033,14.8024,,0.000135033,14.8036,,0.000135033,14.8114,,0.000135033,14.8138,,0.000135033,14.815,,0.000135033,14.8157
0.000141744,14.8024,,0.000141744,14.8013,,0.000141744,14.8101,,0.000141744,14.813,,0.000141744,14.8143,,0.000141744,14.8152
0.00015,14.802,,0.00015,14.7987,,0.00015,14.8086,,0.00015,14.8119,,0.00015,14.8135,,0.00015,14.8145
0.000151342,14.806,,0.000151342,14.7983,,0.000151342,14.8083,,0.000151342,14.8117,,0.000151342,14.8134,,0.000151342,14.8144
0.000154027,14.8106,,0.000154027,14.7975,,0.000154027,14.8079,,0.000154027,14.8114,,0.000154027,14.8131,,0.000154027,14.8142
0.000159395,14.8116,,0.000159395,14.7961,,0.000159395,14.807,,0.000159395,14.8108,,0.000159395,14.8127,,0.000159395,14.8138
0.00017,14.8117,,0.00017,14.7938,,0.00017,14.8053,,0.00017,14.8096,,0.00017,14.8118,,0.00017,14.8131
0.000171074,14.7958,,0.000171074,14.7936,,0.000171074,14.8052,,0.000171074,14.8094,,0.000171074,14.8116,,0.000171074,14.813
